groupId,name,id,urlkey
19130635,"SQL Server",7463,"sqlserver"
19130635,"Data Management",10494,"datamanagement"
19130635,"Business Intelligence",10538,"businessintell"
19130635,"Cloud Computing",15167,"cloud-computing"
19130635,"Big Data",18062,"big-data"
19130635,"Reporting",25551,"reporting"
19130635,"Machine Learning",29971,"machine-learning"
19130635,"Data Analytics",30928,"data-analytics"
19130635,"SaaS (Software as a Service)",33089,"saas-software-as-a-service"
19130635,"SQL",33167,"sql"
19130635,"Data Visualization",37381,"data-visualization"
19130635,"Predictive Analytics",38458,"predictive-analytics"
19130635,"Business Analytics",98842,"business-analytics"
19130635,"ETL",126345,"etl"
19130635,"Big Data Analytics",383411,"big-data-analytics"
1114381,"Small Business",389,"smallbiz"
1114381,"Grid Computing",10390,"gridcomputing"
1114381,"Technology",10579,"technology"
1114381,"Cloud Computing",15167,"cloud-computing"
1114381,"Business Strategy",17635,"business-strategy"
1114381,"Big Data",18062,"big-data"
1114381,"Virtualization",20479,"virtualization"
1114381,"SaaS (Software as a Service)",33089,"saas-software-as-a-service"
1114381,"NoSQL",58162,"nosql"
1114381,"Data",480642,"data"
19573010,"Linux",188,"linux"
19573010,"System Administration",2109,"sysadmin"
19573010,"Cloud Computing",15167,"cloud-computing"
19573010,"Amazon Web Services",20398,"amazon-web-services"
19573010,"PaaS (Platform as a Service)",31197,"paas"
19573010,"SaaS (Software as a Service)",33089,"saas-software-as-a-service"
19573010,"Configuration Management",46810,"configuration-management"
19573010,"DevOps",87614,"devops"
19573010,"IaaS (Infrastructure as a Service)",107633,"iaas-infrastructure-as-a-service"
19573010,"Infrastructure as Code",126177,"infrastructure-as-code"
19573010,"OpenStack",142180,"openstack"
19573010,"Continuous Delivery",166000,"continuous-delivery"
19573010,"Docker",1454542,"docker"
8032532,"Open Source",563,"opensource"
8032532,"Nonprofit",1726,"nonprofit"
8032532,"WordPress",8304,"wordpress"
8032532,"Drupal",10358,"drupal"
8032532,"Fundraising",20761,"fundraising"
8032532,"Charity",25598,"charity"
8032532,"CMS (Content Management Systems)",28990,"cms"
8032532,"Charity Events",54006,"charity-events"
8032532,"Non Profit Organizations",76136,"non-profit-organizations"
8032532,"Socially Responsible Business",78007,"socially-responsible-business"
8032532,"Helping Non-Profits",139927,"helping-non-profits"
8032532,"Causes",181051,"causes"
8032532,"Open Source Cloud",625532,"open-source-cloud"
8032532,"Open Source Frameworks",999172,"open-source-frameworks"
12962072,"Open Source",563,"opensource"
12962072,"New Technology",9696,"newtech"
12962072,"Cloud Computing",15167,"cloud-computing"
12962072,"Web Development",15582,"web-development"
12962072,"Big Data",18062,"big-data"
