id,name,city,address_1,address_2,lat,lon
13079772,"eBay","TW9 1EJ","1 Heron Square, Whittaker Avenue, Richmond",,51.458813,-0.306901
13167072,"Goldman Sachs","London","Christchurch Court, 10-15 Newgate Street, London EC1A 7HD",,51.5154,-0.100329
13168372,"UCL - Anatomy G29 JZ Young Lecture Theatre, Anatomy Building,","London","Gower Street, London, WC1E 6BT.",,51.522484,-0.132641
13330882,"The Skills Matter eXchange, London","London","116-120 Goswell Road EC1V 7DP",,51.524513,-0.099156
13338782,"Wikimedia UK","London","Development House, 56-64 Leonard Street London, LON, EC2A 4LT",,51.524433,-0.084557
1337040,"IPC, Blue Fin Building","London","110 Southwark Street",,51.506132,-0.090062
13401242,"Crown & Anchor","London","Chiswick",,51.49242,-0.26092
13401242,"Crown & Anchor","London","Chiswick",,51.49255,-0.26386
13445272,"TalkTalk","London","20 Broadwick Street W1F 8HT",,51.51371,-0.135095
13459222,"Strongroom Bar and Kitchen","London EC2A 3SQ","120-124 Curtain Road, Shoreditch",,51.526009,-0.080137
13462432,"ASOS.com","London","Greater London House, Hampstead Road, NW1 7QX",,51.53344,-0.139618
1347106,"CONWAY HALL","London","25 RED LION LANE SQUARE",,51.519381,-0.117093
13484432,"Innovation Warehouse","London","1st Floor,  1 East Poultry Ave, London EC1A 9PT",,51.519085,-0.102783
1350344,"Vodafone","London","One Kingdom St","Paddington Central",51.501054,-0.125757
1352013,"The Verve","London","1 Upper St Martins Lane","WC2H 9NY",51.512172,-0.127104
13548062,"Webinar Link will be distributed via e-mail","London","Click on the link to join",,51.511215,-0.119824
1357346,"The Old Ship","London","25 Upper Mall","Hammersmith",51.49039,-0.238115
1359032,"Institute of Directors","London","116 Pall Mall",,51.507066,-0.132654
1365728,"The Guardian","London","King's Place","90 York Way",51.492835,-0.269087
1370795,"Dexter House","London","No 2 Royal Mint Court ","Tower Hill",51.510359,-0.071157
1373233,"ExCeL London","London","One Western Gateway","Royal Victoria Dock",51.508066,0.021828
